firm_id,company,stock_code,board,ipo_year_auth,industry_auth,mention_z,scene_specificity,prudence,packaging_risk,evidence_support,auth_index,pack_index,roa_t1,rev_growth_t1,asset_turnover_t1,ln_assets_preipo,leverage_preipo,firm_age,rd_intensity_preipo,soe,industry_fin,ipo_year_fin,industry,ipo_year,perf_index
000001_2020,示例公司001,1,科创板,2019,制造业,0.6062760446652402,2,0,1,1,-0.0145642690372311,0.3155215250256621,0.0335153871265508,0.0754377310124077,0.7237065103561594,20.4974965439591,0.2565039494621804,12,0.1656007892485443,0,制造业,2019,制造业,2019,-0.15650022920900916
000002_2021,示例公司002,2,创业板,2020,软件和信息技术服务业,-0.3911451201744418,0,2,0,0,-0.482203762172157,-0.0008989079341562,0.049347487522527,0.0733591809822343,0.6317053154993219,19.03547116215835,0.3533133813657629,3,0.0944758213421593,0,软件和信息技术服务业,2020,软件和信息技术服务业,2020,-0.055679875175124294
000003_2022,示例公司003,3,主板,2021,医药制造业,0.8853500797214898,1,1,3,1,-0.0150486303618669,0.6863204766524041,0.0361546593338189,0.1068339227660262,0.5226266740318013,21.456504492067367,0.2649618057976198,23,0.0328423752632204,1,医药制造业,2021,医药制造业,2021,-0.5654214944904823
000004_2023,示例公司004,4,北交所,2022,专用设备制造业,0.1873815083358034,2,1,3,1,0.1201451920255855,0.1486947527457608,0.0128400774151432,0.1676632702158766,0.723861633099164,24.420415012247403,0.1648938790791435,14,0.0721143387438526,0,专用设备制造业,2022,专用设备制造业,2022,-0.1394631730032233
000005_2019,示例公司005,5,科创板,2023,制造业,-0.3665348347654374,1,0,0,2,-0.6509919266695928,0.0976773401592737,0.0278725836463473,0.1718357382666266,0.6118178692348544,22.43488427146365,0.7064762751024161,8,0.0214183337041203,0,制造业,2023,制造业,2023,-0.08849154462971294
000006_2020,示例公司006,6,创业板,2019,软件和信息技术服务业,-1.0896580384208503,0,3,2,1,-0.4313798156844318,-0.2795730329808462,0.0163290381452745,0.1579610391800956,0.7235602761359715,21.44042771395051,0.4189243969541228,17,0.0443364364070928,0,软件和信息技术服务业,2019,软件和信息技术服务业,2019,-0.10726972349008779
000007_2021,示例公司007,7,主板,2020,医药制造业,-0.8251622308462153,2,1,0,2,-0.18361792972902,-0.5177971282665046,0.0286009568751276,0.0907129717017528,0.7109402114449209,22.465080209500307,0.3345210434524717,14,0.013003692769985,0,医药制造业,2020,医药制造业,2020,-0.23604251957420483
000008_2022,示例公司008,8,北交所,2021,专用设备制造业,-0.4989717956102279,2,2,2,2,0.1746170228034239,-0.3865899119202362,0.0442878274983863,0.032021457665225,0.6329133429086853,20.43904164700556,0.509086314934642,3,0.0870575858050277,0,专用设备制造业,2021,专用设备制造业,2021,-0.4400168928317752
000009_2023,示例公司009,9,科创板,2022,制造业,-0.6533463115757532,0,1,3,2,-0.8212419415541982,0.3292802154858757,0.0277411427506768,0.1268150931946187,0.6088285086573026,21.702676637302364,0.1543886737758093,19,0.1178718450418055,0,制造业,2022,制造业,2022,-0.37842052255732667
000010_2019,示例公司010,10,创业板,2023,软件和信息技术服务业,-0.7644955419065992,1,1,0,1,-0.5100023168502936,-0.2350921573382894,0.0223075960554784,0.1243018993418808,0.8004562075402311,22.09947747301574,0.3168132639604882,11,0.0683597186044143,0,软件和信息技术服务业,2023,软件和信息技术服务业,2023,0.10196731505979313
000011_2020,示例公司011,11,主板,2019,医药制造业,1.2186294208367838,0,3,1,0,0.2611064220928584,0.5565838222757215,0.0301120012135823,0.2037168132197895,0.8981518413481907,21.91389934817895,0.5718200794193355,18,0.0814649011558971,0,医药制造业,2019,医药制造业,2019,1.1235770364671966
000012_2021,示例公司012,12,北交所,2020,专用设备制造业,-0.2887584592451144,2,0,0,1,-0.2830746202103375,-0.1296504049849657,0.0389779287744721,0.2110480048481921,0.7247513535762987,22.79080612169008,0.5302618638415577,22,0.1730655763835779,0,专用设备制造业,2020,专用设备制造业,2020,0.824949628461359
000013_2022,示例公司013,13,科创板,2021,制造业,-0.1405312342426204,2,2,2,0,0.2821491912137061,-0.2432136873731932,0.0225469646023045,0.1710497698912816,0.7005157762342927,22.344645226236054,0.7390835685255213,16,0.1378337306677356,0,制造业,2021,制造业,2021,0.061442361738395124
000014_2023,示例公司014,14,创业板,2022,软件和信息技术服务业,-0.0789069279486963,2,2,3,1,0.3006364831018834,-0.1314058364091375,0.0202566445108936,0.1789107961233711,0.7118435908761869,22.668326018108,0.5222146257948264,17,0.1019456282806417,1,软件和信息技术服务业,2022,软件和信息技术服务业,2022,0.08666041701819983
000015_2019,示例公司015,15,主板,2023,医药制造业,-0.3456514039348703,3,1,0,2,0.3048197121475418,-0.5844310928543355,0.0353413706889286,0.1681243966260021,0.6001173251659422,21.31162771776924,0.4365035241766396,8,0.0583719487690102,0,医药制造业,2023,医药制造业,2023,0.048227978416163074
000016_2020,示例公司016,16,北交所,2019,专用设备制造业,0.2311957367970454,3,1,1,1,0.4778738543671165,-0.2665341081150831,0.0532921684598446,0.2117203795764063,0.7705580145996817,22.897815408410548,0.6068595379104046,8,0.1624894557914092,0,专用设备制造业,2019,专用设备制造业,2019,1.3627712142771202
000017_2021,示例公司017,17,科创板,2020,制造业,0.6232402069544685,1,0,3,0,-0.3540594141536211,0.7550617421866942,0.0281846941813134,0.0910575752337129,0.5847076078362438,23.62893694762399,0.6919967231784319,12,0.0499665098697121,0,制造业,2020,制造业,2020,-0.6667892710367851
000018_2022,示例公司018,18,创业板,2021,软件和信息技术服务业,-0.3324102164425713,0,3,1,1,-0.2042054690909481,-0.0638320326360205,0.0092711552643103,0.1475715803593012,0.6925850597189354,21.02985048034859,0.582417568031011,21,0.0653082641878351,1,软件和信息技术服务业,2021,软件和信息技术服务业,2021,-0.4622442752471305
000019_2023,示例公司019,19,主板,2022,医药制造业,0.3016294094311211,2,3,0,2,0.6751752062774763,-0.414250901437767,0.0341040706887649,0.1630200150282349,0.5918137227117466,21.11230434428544,0.7279267341296277,14,0.1645410184519012,0,医药制造业,2022,医药制造业,2022,-0.04376211345502664
000020_2019,示例公司020,20,北交所,2023,专用设备制造业,0.2525252787512858,3,0,1,2,0.2238948949917409,-0.0844170766922884,0.03814086147345,0.2132880009942436,0.5821988064642765,23.335784336320238,0.6192031024429063,10,0.1000221493984623,0,专用设备制造业,2023,专用设备制造业,2023,0.34012013212068765
000021_2020,示例公司021,21,科创板,2019,制造业,0.7131919556511512,3,0,2,0,0.3620948980617006,0.1870077225141437,0.037194337878132,0.1394792464619868,0.5086048053159379,21.80865601330494,0.6700808629571559,20,0.136194051401056,0,制造业,2019,制造业,2019,-0.3841721490383117
000022_2021,示例公司022,22,创业板,2020,软件和信息技术服务业,-0.3219255186046905,0,0,2,1,-0.9821935256245272,0.5482756188689133,0.029393276727773,0.1257519025203884,0.4264587102509189,23.40382139206656,0.2184624427101823,21,0.1104266150078402,0,软件和信息技术服务业,2020,软件和信息技术服务业,2020,-0.9503872072106274
000023_2022,示例公司023,23,主板,2021,医药制造业,-0.3670930485943134,0,0,1,1,-0.995743784621414,0.4430504784265781,-0.0022066734719638,0.1019851882924818,0.5207116515735221,21.557464288107816,0.5894481017962726,22,0.1210846655316141,0,医药制造业,2021,医药制造业,2021,-1.621671947979003
000024_2023,示例公司024,24,北交所,2022,专用设备制造业,-0.870652001751936,0,3,3,0,-0.3656780046837575,-0.1048124898667944,0.0211908851032048,0.1354286496989412,0.6033600279090264,23.455045576270717,0.4140532197164212,9,0.0608951595575203,0,专用设备制造业,2022,专用设备制造业,2022,-0.517982139995095
000025_2019,示例公司025,25,科创板,2023,制造业,0.4924548580865003,0,3,2,0,0.0432540532677733,0.3532721256220942,0.033954730553048,0.1856129540765473,0.7893438315952778,22.13148581680545,0.4818622814467651,18,0.0510332504765326,1,制造业,2023,制造业,2023,0.7510239639470783
000026_2020,示例公司026,26,创业板,2019,软件和信息技术服务业,0.1937919076376695,2,0,1,0,-0.1383095101455023,0.1505278702146338,0.0115065334097761,0.0423144136602388,0.7170592888271083,22.258228823322696,0.542461445689414,15,0.064823699018673,1,软件和信息技术服务业,2019,软件和信息技术服务业,2019,-0.9673463734401962
000027_2021,示例公司027,27,主板,2020,医药制造业,-0.4862042581054188,2,2,3,2,0.1784472840548666,-0.2943247684718265,0.0450253824735386,0.0859740595752725,0.5751598466366981,23.564718021669904,0.7318890700233417,12,0.0364250658941818,0,医药制造业,2020,医药制造业,2020,-0.2820909420216255
000028_2022,示例公司028,28,北交所,2021,专用设备制造业,-0.1254989239420398,1,0,3,2,-0.5786811534225735,0.4555660898280909,0.0232070125693054,0.0444610694547556,0.5940042477344678,21.63822952255583,0.7407468488589748,11,0.1586334420994372,1,专用设备制造业,2021,专用设备制造业,2021,-1.054210145442419
000029_2023,示例公司029,29,科创板,2022,制造业,-0.548760462837167,1,1,1,2,-0.4452817931294639,-0.0616399972640305,0.0370119857522797,0.0289576316891217,0.6058029082427394,21.058877904075043,0.3229369472927431,5,0.0581519786525193,1,制造业,2022,制造业,2022,-0.7428910953171403
