firm_id,company,stock_code,board,ipo_year,industry,mention_z,scene_specificity,prudence,packaging_risk,evidence_support,auth_index,pack_index
000001_2020,示例公司001,1,科创板,2019,制造业,0.6062760446652402,2,0,1,1,-0.014564269037231181,0.3155215250256621
000002_2021,示例公司002,2,创业板,2020,软件和信息技术服务业,-0.39114512017444186,0,2,0,0,-0.482203762172157,-0.0008989079341562844
000003_2022,示例公司003,3,主板,2021,医药制造业,0.8853500797214898,1,1,3,1,-0.015048630361866946,0.6863204766524041
000004_2023,示例公司004,4,北交所,2022,专用设备制造业,0.1873815083358034,2,1,3,1,0.12014519202558556,0.14869475274576083
000005_2019,示例公司005,5,科创板,2023,制造业,-0.3665348347654374,1,0,0,2,-0.6509919266695928,0.09767734015927376
000006_2020,示例公司006,6,创业板,2019,软件和信息技术服务业,-1.0896580384208505,0,3,2,1,-0.4313798156844318,-0.2795730329808462
000007_2021,示例公司007,7,主板,2020,医药制造业,-0.8251622308462153,2,1,0,2,-0.18361792972902008,-0.5177971282665046
000008_2022,示例公司008,8,北交所,2021,专用设备制造业,-0.4989717956102279,2,2,2,2,0.1746170228034239,-0.38658991192023623
000009_2023,示例公司009,9,科创板,2022,制造业,-0.6533463115757532,0,1,3,2,-0.8212419415541982,0.3292802154858757
000010_2019,示例公司010,10,创业板,2023,软件和信息技术服务业,-0.7644955419065992,1,1,0,1,-0.5100023168502936,-0.23509215733828948
000011_2020,示例公司011,11,主板,2019,医药制造业,1.2186294208367838,0,3,1,0,0.2611064220928584,0.5565838222757215
000012_2021,示例公司012,12,北交所,2020,专用设备制造业,-0.2887584592451144,2,0,0,1,-0.2830746202103375,-0.12965040498496577
000013_2022,示例公司013,13,科创板,2021,制造业,-0.14053123424262046,2,2,2,0,0.28214919121370613,-0.2432136873731932
000014_2023,示例公司014,14,创业板,2022,软件和信息技术服务业,-0.07890692794869632,2,2,3,1,0.3006364831018834,-0.13140583640913753
000015_2019,示例公司015,15,主板,2023,医药制造业,-0.34565140393487037,3,1,0,2,0.30481971214754183,-0.5844310928543355
000016_2020,示例公司016,16,北交所,2019,专用设备制造业,0.2311957367970454,3,1,1,1,0.4778738543671165,-0.26653410811508316
000017_2021,示例公司017,17,科创板,2020,制造业,0.6232402069544685,1,0,3,0,-0.3540594141536211,0.7550617421866942
000018_2022,示例公司018,18,创业板,2021,软件和信息技术服务业,-0.3324102164425713,0,3,1,1,-0.2042054690909481,-0.0638320326360205
000019_2023,示例公司019,19,主板,2022,医药制造业,0.30162940943112115,2,3,0,2,0.6751752062774763,-0.41425090143776705
000020_2019,示例公司020,20,北交所,2023,专用设备制造业,0.2525252787512858,3,0,1,2,0.22389489499174098,-0.08441707669228848
000021_2020,示例公司021,21,科创板,2019,制造业,0.7131919556511512,3,0,2,0,0.3620948980617006,0.18700772251414371
000022_2021,示例公司022,22,创业板,2020,软件和信息技术服务业,-0.3219255186046905,0,0,2,1,-0.9821935256245271,0.5482756188689133
000023_2022,示例公司023,23,主板,2021,医药制造业,-0.3670930485943134,0,0,1,1,-0.995743784621414,0.44305047842657813
000024_2023,示例公司024,24,北交所,2022,专用设备制造业,-0.870652001751936,0,3,3,0,-0.3656780046837575,-0.1048124898667944
000025_2019,示例公司025,25,科创板,2023,制造业,0.4924548580865003,0,3,2,0,0.043254053267773374,0.3532721256220942
000026_2020,示例公司026,26,创业板,2019,软件和信息技术服务业,0.1937919076376695,2,0,1,0,-0.13830951014550236,0.15052787021463382
000027_2021,示例公司027,27,主板,2020,医药制造业,-0.48620425810541884,2,2,3,2,0.17844728405486662,-0.29432476847182654
000028_2022,示例公司028,28,北交所,2021,专用设备制造业,-0.1254989239420398,1,0,3,2,-0.5786811534225735,0.4555660898280909
000029_2023,示例公司029,29,科创板,2022,制造业,-0.548760462837167,1,1,1,2,-0.4452817931294639,-0.06163999726403057
000030_2019,示例公司030,30,创业板,2023,软件和信息技术服务业,0.8269347388069388,3,2,0,2,0.9169733769317323,-0.28898185039871027
000031_2020,示例公司031,31,主板,2019,医药制造业,0.5646621227384142,1,2,2,2,0.14912280450485813,0.29730195077158944
