firm_id,scene_specificity,prudence,packaging_risk,evidence_support
000001_2020,2,0,1,1
000002_2021,0,2,0,0
000003_2022,1,1,3,1
000004_2023,2,1,3,1
000005_2019,1,0,0,2
000006_2020,0,3,2,1
000007_2021,2,1,0,2
000008_2022,2,2,2,2
000009_2023,0,1,3,2
000010_2019,1,1,0,1
000011_2020,0,3,1,0
000012_2021,2,0,0,1
000013_2022,2,2,2,0
000014_2023,2,2,3,1
000015_2019,3,1,0,2
000016_2020,3,1,1,1
000017_2021,1,0,3,0
000018_2022,0,3,1,1
000019_2023,2,3,0,2
000020_2019,3,0,1,2
000021_2020,3,0,2,0
000022_2021,0,0,2,1
000023_2022,0,0,1,1
000024_2023,0,3,3,0
000025_2019,0,3,2,0
000026_2020,2,0,1,0
000027_2021,2,2,3,2
000028_2022,1,0,3,2
000029_2023,1,1,1,2
000030_2019,3,2,0,2
000031_2020,1,2,2,2
000032_2021,3,3,2,0
000033_2022,3,0,0,2
000034_2023,1,0,2,0
000035_2019,0,1,3,1
000036_2020,3,1,0,1
000037_2021,2,3,2,1
000038_2022,1,3,0,0
000039_2023,2,1,2,0
000040_2019,2,3,1,2
000041_2020,3,1,0,0
000042_2021,1,2,3,0
000043_2022,3,1,0,2
000044_2023,3,0,2,0
000045_2019,0,3,0,2
000046_2020,0,0,3,2
000047_2021,2,0,2,1
000048_2022,0,0,3,0
000049_2023,1,1,1,0
000050_2019,1,0,1,0
000051_2020,3,0,2,1
000052_2021,3,2,3,0
000053_2022,0,3,3,1
000054_2023,3,0,0,0
000055_2019,0,1,2,1
000056_2020,2,2,0,0
000057_2021,3,3,1,2
000058_2022,3,2,3,0
000059_2023,0,3,1,0
000060_2019,3,2,3,0
